0	0	0	583	0	0	0	0	625	0	0	0
2	0	0	583	0	0	0	0	624	0	0	0
6	0	0	584	0	0	0	0	623	0	0	0
10	0	0	584	0	0	0	0	623	0	0	0
14	0	0	584	0	0	0	0	620	0	0	0
18	0	0	583	0	0	0	0	618	0	0	0
22	0	0	584	0	0	-1	0	619	0	0	0
26	0	0	584	0	1	-1	0	620	0	0	0
30	0	0	584	0	1	-1	0	620	0	0	0
34	0	0	584	0	1	-1	0	620	0	0	0
38	0	0	584	0	1	-1	0	620	0	0	0
42	0	0	584	0	1	-2	0	618	0	0	0
46	0	0	585	0	2	-2	1	617	0	0	0
50	0	0	585	0	2	-2	1	614	0	0	0
54	0	0	583	0	2	-3	1	612	0	0	0
58	0	0	584	0	2	-3	1	612	0	0	0
62	0	0	583	0	2	-3	1	611	0	0	0
66	0	0	584	0	2	-4	1	610	0	0	0
70	0	0	585	0	2	-5	1	611	0	0	0
74	0	0	585	0	3	-5	2	610	0	0	0
78	0	0	585	0	3	-6	2	612	0	0	0
82	0	0	586	0	3	-7	2	614	0	0	0
86	0	0	586	0	3	-7	2	614	0	0	0
90	0	0	587	0	2	-8	2	617	0	0	0
94	0	0	588	0	2	-8	2	625	0	0	0
98	0	0	589	0	2	-9	2	643	0	0	0
102	0	0	590	0	1	-9	2	649	0	0	0
106	0	0	591	0	1	-9	2	653	0	0	0
110	0	0	591	0	0	-10	2	655	0	0	0
114	0	0	592	0	-1	-10	2	659	0	0	0
118	0	0	592	0	-1	-10	2	659	0	0	0
122	0	0	592	0	-2	-10	2	660	0	0	0
126	0	0	593	0	-2	-10	2	659	0	0	0
130	0	0	593	0	-3	-10	1	654	0	0	0
134	0	0	594	0	-3	-10	1	644	0	0	0
138	0	0	596	0	-4	-10	1	644	0	0	0
142	0	0	596	0	-5	-10	1	646	0	0	0
146	0	0	596	0	-5	-10	1	646	0	0	0
150	0	0	598	0	-6	-10	1	649	0	0	0
154	0	0	598	0	-6	-9	0	651	0	0	0
158	0	0	598	0	-7	-9	0	643	0	0	0
162	0	0	599	0	-7	-9	0	631	0	0	0
